"Lobbyist","Lobbyist Type","Client","Report Type","Filing Date"
"Law Offices of Gregory D. Thatch","Contract","Lynda Taylor","1st Quarter 2015","04/14/15"
"Law Offices of Gregory D. Thatch","Contract","M&H Realty Partners, VI LP","1st Quarter 2015","04/14/15"
"Law Offices of Gregory D. Thatch","Contract","Pannattoni Development Company","1st Quarter 2015","04/14/15"
"Law Offices of Gregory D. Thatch","Contract","Paratransit, Inc.","1st Quarter 2015","04/14/15"
"Law Offices of Gregory D. Thatch","Contract","Park El Camino Natomas, LLC","1st Quarter 2015","04/14/15"
"Law Offices of Gregory D. Thatch","Contract","Regent Development Inc.","1st Quarter 2015","04/14/15"
"Law Offices of Gregory D. Thatch","Contract","Signature Healthcare Services, LLC","1st Quarter 2015","04/14/15"
"Law Offices of Gregory D. Thatch","Contract","Steve Gidaro 5G Consulting, LLC/John Valensin","1st Quarter 2015","04/14/15"
"Law Offices of Gregory D. Thatch","Contract","TIAA-CREF","1st Quarter 2015","04/14/15"
"Law Offices of Richard H. Hyde","Contract","13th & I Associates","1st Quarter 2015","04/14/15"
"Law Offices of Richard H. Hyde","Contract","Township 9","1st Quarter 2015","04/14/15"
"Law Offices of Richard H. Hyde","Contract","California Fairs Financing Authority dba California Construction Authority","1st Quarter 2015","04/14/15"
"Law Offices of Richard H. Hyde","Contract","Sotiris K. Kolokotronis dba SKK Development Company","1st Quarter 2015","04/14/15"
"Law Offices of Richard H. Hyde","Contract","Z Gallerie","1st Quarter 2015","04/14/15"
"Law Offices of Richard H. Hyde","Contract","Lucas Enterprises","1st Quarter 2015","04/14/15"
"Law Offices of Richard H. Hyde","Contract","GMA Investors","1st Quarter 2015","04/14/15"
"Pacific Advocacy Group","Contract","Air Conditioning Trade Association(ACTS)","1st Quarter 2015","04/20/15"
"Pacific Advocacy Group","Contract","Plumbing-Heating-Cooling Contractors Association of California (CAPHCC)","1st Quarter 2015","04/20/15"
"Pacific Advocacy Group","Contract","Western Electrican Contractors Association (WECA)","1st Quarter 2015","04/20/15"
"Pacific Investment Management Company LLC","Business/ Organization","NA","1st Quarter 2015","04/15/15"
"Rasmusson Public Affairs Inc.","Contract","Saca Development","1st Quarter 2015","04/07/15"
"Rasmusson Public Affairs Inc.","Contract","CBS Outdoor","1st Quarter 2015","04/07/15"
"Rasmusson Public Affairs Inc.","Contract","Sacramento Association of Realtors","1st Quarter 2015","04/07/15"
"Rasmusson Public Affairs Inc.","Contract","Louis Nastro","1st Quarter 2015","04/07/15"
"Rasmusson Public Affairs Inc.","Contract","Tooley Oil Company","1st Quarter 2015","04/07/15"
"Revell Communications","Contract","American Promotional Events, Inc. dba TNT Fireworks","1st Quarter 2015","04/10/15"
"Summit Partners, L.P and its affiliate Summit Partners Credit Advisors, L.P","Business/ Organization","NA","1st Quarter 2015","04/14/15"
"Taylor & Wiley","Contract","Pappas Investments","1st Quarter 2015","04/14/15"
