"Lobbyist","Lobbyist Type","Client","Report Type","Filing Date"
"Rasmusson Public Affairs","Contract","Sacramento Association of Realtors","2nd Quarter 2012","07/11/12"
"Rasmusson Public Affairs","Contract","Tooley Oil Company","2nd Quarter 2012","07/11/12"
"Rental Housing Association of Sacramento Valley","Business/ Organization","N/A","2nd Quarter 2012","07/05/12"
"Revell Communications","Contract","Sacramento Independent Taxi Owners Association","2nd Quarter 2012","07/11/12"
"Revell Communications","Contract","American Promotional Events, Inc, (aka TNT Fireworks)","2nd Quarter 2012","07/11/12"
"Taylor & Wiley","Contract","AKT Development","2nd Quarter 2012","07/13/12"
"Taylor & Wiley","Contract","California Railroad Museum Foundation","2nd Quarter 2012","07/13/12"
"Taylor & Wiley","Contract","Gurjeet Hundal","2nd Quarter 2012","07/13/12"
"Taylor & Wiley","Contract","John Manikas","2nd Quarter 2012","07/13/12"
"Taylor & Wiley","Contract","Johnny Javanifard","2nd Quarter 2012","07/13/12"
"Taylor & Wiley","Contract","Kevin Terry / 500 Richards","2nd Quarter 2012","07/13/12"
"Taylor & Wiley","Contract","Meer Capital Partners","2nd Quarter 2012","07/13/12"
"Taylor & Wiley","Contract","Opus West Corporation","2nd Quarter 2012","07/13/12"
"Taylor & Wiley","Contract","St. Anton","2nd Quarter 2012","07/13/12"
"Taylor & Wiley","Contract","Stonebridge/Teichert","2nd Quarter 2012","07/13/12"
"Taylor & Wiley","Contract","Venatus","2nd Quarter 2012","07/13/12"
"Thomas Law Group","Contract","455 Capitol Mall","2nd Quarter 2012","07/16/12"
"Thomas Law Group","Contract","Alleghaney Properties, LLC","2nd Quarter 2012","07/16/12"
"Thomas Law Group","Contract","Capitol Station 65","2nd Quarter 2012","07/16/12"
"Thomas Law Group","Contract","Clear Channel","2nd Quarter 2012","07/16/12"
"Thomas Law Group","Contract","Integral Communities","2nd Quarter 2012","07/16/12"
"Thomas Law Group","Contract","NBA","2nd Quarter 2012","07/16/12"
"Thomas Law Group","Contract","Nestle Waters of North America","2nd Quarter 2012","07/16/12"
"Thomas Law Group","Contract","Petco","2nd Quarter 2012","07/16/12"
"Thomas Law Group","Contract","Priority Parking","2nd Quarter 2012","07/16/12"
"Thomas Law Group","Contract","Ranch Capital","2nd Quarter 2012","07/16/12"
"Thomas Law Group","Contract","Riverview Investments","2nd Quarter 2012","07/16/12"
"Thomas Law Group","Contract","The Evergreen Company","2nd Quarter 2012","07/16/12"
"Thomas Law Group","Contract","Zaremba Group LLC","2nd Quarter 2012","07/16/12"
"California Capitol Solutions/Max Del Real","Contract","Alpine Alternative","2nd Quarter 2013","07/17/13"
"California Capitol Solutions/Max Del Real","Contract","Alternative Medical Center","2nd Quarter 2013","07/17/13"
"California Capitol Solutions/Max Del Real","Contract","Midtown Independent Alternative","2nd Quarter 2013","07/17/13"
"Holloway Land Company","Contract","21st & I, LLC","2nd Quarter 2013","07/09/13"
"Holloway Land Company","Contract","7-Eleven, Inc.","2nd Quarter 2013","07/09/13"
"Holloway Land Company","Contract","Brothers Development","2nd Quarter 2013","07/09/13"
"Holloway Land Company","Contract","Compass Commercial","2nd Quarter 2013","07/09/13"
"Holloway Land Company","Contract","Evergreen Development Co./Dollar General Stores","2nd Quarter 2013","07/09/13"
"Holloway Land Company","Contract","Foothill Partners","2nd Quarter 2013","07/09/13"
"Holloway Land Company","Contract","Hugs Dispensary","2nd Quarter 2013","07/09/13"
"Holloway Land Company","Contract","Lend Lease","2nd Quarter 2013","07/09/13"
"Holloway Land Company","Contract","Mueller Pet Hospital","2nd Quarter 2013","07/09/13"
"Holloway Land Company","Contract","Pacific Housing","2nd Quarter 2013","07/09/13"
"Holloway Land Company","Contract","PC & F","2nd Quarter 2013","07/09/13"
"Holloway Land Company","Contract","Sisler and Sisler","2nd Quarter 2013","07/09/13"
"Holloway Land Company","Contract","Taylor and Wiley","2nd Quarter 2013","07/09/13"
"King Street Capital Management, L.P.","Business/ Organization","N/A","2nd Quarter 2013","07/03/13"
"Law Offices of Gregory D. Thatch","Contract","Alleghany Properties, Inc.","2nd Quarter 2013","07/15/13"
"Law Offices of Gregory D. Thatch","Contract","Armour Steel Company","2nd Quarter 2013","07/15/13"
"Law Offices of Gregory D. Thatch","Contract","Brookfield Natomas, LLC","2nd Quarter 2013","07/15/13"
"Law Offices of Gregory D. Thatch","Contract","Downtown Ford","2nd Quarter 2013","07/15/13"
"Law Offices of Gregory D. Thatch","Contract","Fritz Brown","2nd Quarter 2013","07/15/13"
"Law Offices of Gregory D. Thatch","Contract","Granite Bay Development","2nd Quarter 2013","07/15/13"
"Law Offices of Gregory D. Thatch","Contract","Hart Enterprises, L.P.","2nd Quarter 2013","07/15/13"
"Law Offices of Gregory D. Thatch","Contract","Howe & University, LLC","2nd Quarter 2013","07/15/13"
"Law Offices of Gregory D. Thatch","Contract","K. Hovnanian Forecast Homes Northern, Inc.","2nd Quarter 2013","07/15/13"
"Law Offices of Gregory D. Thatch","Contract","KB Homes","2nd Quarter 2013","07/15/13"
"Law Offices of Gregory D. Thatch","Contract","Kern Schumacher (Natomas Creek, LLC; Natomas Meadows, LLC; Commerce Station, LLC; East Commerce Parkway, LLC; and Natomas Towne Center, LLC)","2nd Quarter 2013","07/15/13"
"Law Offices of Gregory D. Thatch","Contract","Lennar Winncrest, LLC","2nd Quarter 2013","07/15/13"
"Law Offices of Gregory D. Thatch","Contract","Lewis Operating Corp.","2nd Quarter 2013","07/15/13"
"Law Offices of Gregory D. Thatch","Contract","M&H Realty Partners, VI, L.P.","2nd Quarter 2013","07/15/13"
"Law Offices of Gregory D. Thatch","Contract","Panatonni Development Company","2nd Quarter 2013","07/15/13"
"Law Offices of Gregory D. Thatch","Contract","Paratransit, Inc.","2nd Quarter 2013","07/15/13"
"Law Offices of Gregory D. Thatch","Contract","Park El Camino-Natomas, LLC","2nd Quarter 2013","07/15/13"
"Law Offices of Gregory D. Thatch","Contract","Regent Development, Inc.","2nd Quarter 2013","07/15/13"
"Law Offices of Gregory D. Thatch","Contract","Schetter Electric Company, Inc.","2nd Quarter 2013","07/15/13"
"Law Offices of Gregory D. Thatch","Contract","Shea Homes","2nd Quarter 2013","07/15/13"
"Law Offices of Gregory D. Thatch","Contract","Signature Healthcare Services, LLC","2nd Quarter 2013","07/15/13"
"Law Offices of Gregory D. Thatch","Contract","Steve Gidaro 5G Consulting, LLC/John Valensin","2nd Quarter 2013","07/15/13"
"Law Offices of Gregory D. Thatch","Contract","TIAA-CREF","2nd Quarter 2013","07/15/13"
"Law Offices of Richard H. Hyde","Contract","13th and I Associates","2nd Quarter 2013","07/10/13"
"Law Offices of Richard H. Hyde","Contract","California Fairs Financing Authority dba California Construction","2nd Quarter 2013","07/10/13"
"Law Offices of Richard H. Hyde","Contract","GMA Investors","2nd Quarter 2013","07/10/13"
"Law Offices of Richard H. Hyde","Contract","Lucas Enterprises","2nd Quarter 2013","07/10/13"
"Law Offices of Richard H. Hyde","Contract","Sotiris K. Kolkotronis dba SKK Development Company","2nd Quarter 2013","07/10/13"
"Law Offices of Richard H. Hyde","Contract","Township 9 (Fomerly known as Capitol Station 65, LLC)","2nd Quarter 2013","07/10/13"
"Law Offices of Richard H. Hyde","Contract","Z Gallerie","2nd Quarter 2013","07/10/13"
"Lo Duca & Avdis, LLP","Contract","Integral Communities","2nd Quarter 2013","07/19/13"
"Pacific Advocacy Group","Contract","Air Conditioning Trade Assn","2nd Quarter 2013","07/16/13"
"Pacific Advocacy Group","Contract","PHCC of California","2nd Quarter 2013","07/16/13"
"Pacific Advocacy Group","Contract","WECA-IEC","2nd Quarter 2013","07/16/13"
"Pacific Investment Management Company","Business/ Organization","N/A","2nd Quarter 2013","07/11/13"
"Rasmusson Public Affairs","Contract","CBS Outdoor","2nd Quarter 2013","07/12/13"
"Rasmusson Public Affairs","Contract","LPS Asset  Management Solutions, Inc.","2nd Quarter 2013","07/12/13"
"Rasmusson Public Affairs","Contract","Louis Nastro","2nd Quarter 2013","07/12/13"
"Rasmusson Public Affairs","Contract","Sacramento Association of Realtors","2nd Quarter 2013","07/12/13"
"Rasmusson Public Affairs","Contract","Saca Development","2nd Quarter 2013","07/12/13"
"Rasmusson Public Affairs","Contract","Tooley Oil Company","2nd Quarter 2013","07/12/13"
"Rental Housing Association of Sacramento Valley","Business/ Organization","N/A","2nd Quarter 2013","07/01/13"
"Revell Communications","Contract","Sacramento Independent Taxi Owners Association","2nd Quarter 2013","07/01/13"
"Revell Communications","Contract","American Promotional Events, Inc, (aka TNT Fireworks)","2nd Quarter 2013","07/01/13"
"Taylor & Wiley","Contract","AKT Development","2nd Quarter 2013","07/15/13"
"Taylor & Wiley","Contract","California Railroad Museum Foundation","2nd Quarter 2013","07/15/13"
"Taylor & Wiley","Contract","Elixir Industries","2nd Quarter 2013","07/15/13"
"Taylor & Wiley","Contract","Gurjeet Hundal","2nd Quarter 2013","07/15/13"
"Taylor & Wiley","Contract","John Manikas","2nd Quarter 2013","07/15/13"
"Taylor & Wiley","Contract","Johnny Javanifard","2nd Quarter 2013","07/15/13"
"Taylor & Wiley","Contract","Kevin Terry / 500 Richards","2nd Quarter 2013","07/15/13"
"Taylor & Wiley","Contract","Meer Capital Partners","2nd Quarter 2013","07/15/13"
"Taylor & Wiley","Contract","Opus West Corporation","2nd Quarter 2013","07/15/13"
"Taylor & Wiley","Contract","Rock-Tenn Company","2nd Quarter 2013","07/15/13"
"Taylor & Wiley","Contract","St. Anton","2nd Quarter 2013","07/15/13"
"Taylor & Wiley","Contract","Stonebridge/Teichert","2nd Quarter 2013","07/15/13"
"Taylor & Wiley","Contract","Venatus","2nd Quarter 2013","07/15/13"
"Thomas Law Group","Contract","455 Capitol Mall","2nd Quarter 2013","07/15/13"
"Thomas Law Group","Contract","Alleghaney Properties, LLC","2nd Quarter 2013","07/15/13"
"Thomas Law Group","Contract","Capitol Station 65","2nd Quarter 2013","07/15/13"
"Thomas Law Group","Contract","Clear Channel","2nd Quarter 2013","07/15/13"
"Thomas Law Group","Contract","Fountain Residential Partners","2nd Quarter 2013","07/15/13"
"Thomas Law Group","Contract","Integral Communities","2nd Quarter 2013","07/15/13"
"Thomas Law Group","Contract","NBA","2nd Quarter 2013","07/15/13"
"Thomas Law Group","Contract","Nestle Waters of North America","2nd Quarter 2013","07/15/13"
"Thomas Law Group","Contract","Petco","2nd Quarter 2013","07/15/13"
"Thomas Law Group","Contract","Pioneer Law Group","2nd Quarter 2013","07/15/13"
"Thomas Law Group","Contract","Priority Parking","2nd Quarter 2013","07/15/13"
"Thomas Law Group","Contract","Ranch Capital","2nd Quarter 2013","07/15/13"
"Thomas Law Group","Contract","Riverview Investments","2nd Quarter 2013","07/15/13"
"Thomas Law Group","Contract","The Evergreen Company","2nd Quarter 2013","07/15/13"
"Thomas Law Group","Contract","Zaremba Group LLC","2nd Quarter 2013","07/15/13"
"Hefner, Stark & Marois, LLP","Contract","The Evergreen Company","2nd Quarter 2013 Initial","07/03/13"
"Hefner, Stark & Marois, LLP","Contract","West Coast Housing Partners, LLC & BHT Parkebridge 531, LLC","2nd Quarter 2013 Initial","07/03/13"
"Sacramento Tomorrow","Expenditure","N/A","2nd Quarter 2013 Initial","07/22/13"
"Phillips Land Law, Inc.","Contract","Ose Properties","2nd Quarter 2013 Termination","07/25/14"
"California Capitol Solutions/Max Del Real","Contract","Sacramento Alliance of Collectives","3rd Quarter 2010","10/14/10"
"Edgar and Associates","Contract","BLT Enterprises Inc.","3rd Quarter 2010","10/07/10"
"Hefner, Stark & Marois, LLP","Contract","Lily Company","3rd Quarter 2010","10/14/10"
"Hefner, Stark & Marois, LLP","Contract","North Natomas Sac Region, LLC","3rd Quarter 2010","10/14/10"
"Holloway Land Company","Contract","Drake Developments of California, Inc.","3rd Quarter 2010","09/24/10"
"Holloway Land Company","Contract","21st & I, LLC","3rd Quarter 2010","09/24/10"
"Holloway Land Company","Contract","Trammell Crow Residential","3rd Quarter 2010","09/24/10"
"Holloway Land Company","Contract","Recycling Industries","3rd Quarter 2010","09/24/10"
"Holloway Land Company","Contract","Foothill Partners","3rd Quarter 2010","09/24/10"
"Holloway Land Company","Contract","Paul & Milka Lausevic","3rd Quarter 2010","09/24/10"
"Holloway Land Company","Contract","James Marcus","3rd Quarter 2010","09/24/10"
"Holloway Land Company","Contract","Investors Choice","3rd Quarter 2010","09/24/10"
"Holloway Land Company","Contract","Sisler and Sisler","3rd Quarter 2010","09/24/10"
"Holloway Land Company","Contract","PC & F","3rd Quarter 2010","09/24/10"
"Holloway Land Company","Contract","Brothers Development","3rd Quarter 2010","09/24/10"
"Holloway Land Company","Contract","Daru Development","3rd Quarter 2010","09/24/10"
"Holloway Land Company","Contract","Inve$tnet","3rd Quarter 2010","09/24/10"
"Holloway Land Company","Contract","Little Real Estate Services","3rd Quarter 2010","09/24/10"
"Holloway Land Company","Contract","Stan Hazelroth","3rd Quarter 2010","09/24/10"
"James Anthony","Contract","El Camino Wellness Center","3rd Quarter 2010","10/04/10"
"Law Offices of George Phillips","Contract","Ose Properties","3rd Quarter 2010","10/19/10"
"Law Offices of Gregory D. Thatch","Contract","Armour Steel Company","3rd Quarter 2010","10/14/10"
"Law Offices of Gregory D. Thatch","Contract","Downtown Ford","3rd Quarter 2010","10/14/10"
"Law Offices of Gregory D. Thatch","Contract","Fritz Brown","3rd Quarter 2010","10/14/10"
"Law Offices of Gregory D. Thatch","Contract","Granite Bay Development","3rd Quarter 2010","10/14/10"
"Law Offices of Gregory D. Thatch","Contract","Jerry Greenberg","3rd Quarter 2010","10/14/10"
"Law Offices of Gregory D. Thatch","Contract","K. Hovnanian Forecast Homes Northern, Inc.","3rd Quarter 2010","10/14/10"
"Law Offices of Gregory D. Thatch","Contract","KB Home","3rd Quarter 2010","10/14/10"
"Law Offices of Gregory D. Thatch","Contract","Kern Schumacher (Natomas Creek, LLC; Natomas Meadows, LLC; Commerce Station, LLC; East Commerce Parkway, LLC; and Natomas Towne Center, LLC)","3rd Quarter 2010","10/14/10"
"Law Offices of Gregory D. Thatch","Contract","Kevin Donnelly","3rd Quarter 2010","10/14/10"
"Law Offices of Gregory D. Thatch","Contract","Lewis Operating Corp.","3rd Quarter 2010","10/14/10"
"Law Offices of Gregory D. Thatch","Contract","M&H Realty Partners, VI, L.P.","3rd Quarter 2010","10/14/10"
"Law Offices of Gregory D. Thatch","Contract","National Wood Products","3rd Quarter 2010","10/14/10"
"Law Offices of Gregory D. Thatch","Contract","Panatonni Development Company","3rd Quarter 2010","10/14/10"
"Law Offices of Gregory D. Thatch","Contract","Paratransit, Inc.","3rd Quarter 2010","10/14/10"
"Law Offices of Gregory D. Thatch","Contract","Park El Camino-Natomas, LLC","3rd Quarter 2010","10/14/10"
"Law Offices of Gregory D. Thatch","Contract","Presidio Hotel Group","3rd Quarter 2010","10/14/10"
"Law Offices of Gregory D. Thatch","Contract","Priority Ventures","3rd Quarter 2010","10/14/10"
"Law Offices of Gregory D. Thatch","Contract","Regent Development, Inc.","3rd Quarter 2010","10/14/10"
"Law Offices of Gregory D. Thatch","Contract","S-360 Development","3rd Quarter 2010","10/14/10"
"Law Offices of Gregory D. Thatch","Contract","Stockton Blvd. Partners, LLC","3rd Quarter 2010","10/14/10"
"Law Offices of Gregory D. Thatch","Contract","Yellow Cab Company of Sacramento","3rd Quarter 2010","10/14/10"
"Law Offices of Richard H. Hyde","Contract","Z Gallerie","3rd Quarter 2010","11/12/10"
"Law Offices of Richard H. Hyde","Contract","13th and I Associates","3rd Quarter 2010","11/12/10"
"Law Offices of Richard H. Hyde","Contract","Township 9 (Fomerly known as Capitol Station 65, LLC)","3rd Quarter 2010","11/12/10"
"Law Offices of Richard H. Hyde","Contract","California Fairs Financing Authority dba California Construction","3rd Quarter 2010","11/12/10"
"Law Offices of Richard H. Hyde","Contract","Lucas Enterprises","3rd Quarter 2010","11/12/10"
"Law Offices of Richard H. Hyde","Contract","Sotiris K. Kolkotronis dba SKK Development Company","3rd Quarter 2010","11/12/10"
"Law Offices of Richard H. Hyde","Contract","Recycling Industries,LLC","3rd Quarter 2010","11/12/10"
"North State BIA","Business/ Organization","N/A","3rd Quarter 2010","02/17/10"
"Pacific Advocacy Group","Contract","WECA-IEC","3rd Quarter 2010","10/14/10"
"Paul R. Curry and Associates","Contract","Raytheon","3rd Quarter 2010","10/13/10"
"Rasmusson Public Affairs","Contract","Saca Development","3rd Quarter 2010","10/14/10"
"Rasmusson Public Affairs","Contract","CBS Outdoor","3rd Quarter 2010","10/14/10"
"Rasmusson Public Affairs","Contract","Sacramento Association of Realtors","3rd Quarter 2010","10/14/10"
"Rasmusson Public Affairs","Contract","LPS Asset  Management Solutions, Inc.","3rd Quarter 2010","10/14/10"
"Rasmusson Public Affairs","Contract","Tooley Oil Company","3rd Quarter 2010","10/14/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","AKT Development","3rd Quarter 2010","10/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Riverview Investments","3rd Quarter 2010","10/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Petrovich Development Co.","3rd Quarter 2010","10/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Loaves & Fishes","3rd Quarter 2010","10/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Wind Youth Center","3rd Quarter 2010","10/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Avondale Glen Elder Neighborhood Association","3rd Quarter 2010","10/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Alleghany Properties, LLC","3rd Quarter 2010","10/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","455 Capitol Mall","3rd Quarter 2010","10/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Capitol Station 65","3rd Quarter 2010","10/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Trinity Cathedral","3rd Quarter 2010","10/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Simsmetal America","3rd Quarter 2010","10/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Clear Channel","3rd Quarter 2010","10/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Nestle Waters of North America","3rd Quarter 2010","10/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Ranch Capital","3rd Quarter 2010","10/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Sacramento Food Bank","3rd Quarter 2010","10/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Gerry Kamilos","3rd Quarter 2010","10/15/10"
"Rental Housing Association of Sacramento Valley","Business/ Organization","N/A","3rd Quarter 2010","07/02/10"
"Revell Communications","Contract","Sacramento Independent Taxi Owners Association","3rd Quarter 2010","10/13/10"
"Revell Communications","Contract","American Promotional Events, Inc, (AKA TNT Fireworks)","3rd Quarter 2010","10/13/10"
"Robert P. Thomas & Associates","Contract","AKT","3rd Quarter 2010","09/30/10"
"Sac-Sierra's Bld & Const Trades Council/Matt Kelly","Business/ Organization","N/A","3rd Quarter 2010","10/15/10"
"Taylor & Wiley","Contract","Opus West Corporation","3rd Quarter 2010","10/14/10"
"Taylor & Wiley","Contract","John Manikas","3rd Quarter 2010","10/14/10"
"Taylor & Wiley","Contract","Meer Capital Partners","3rd Quarter 2010","10/14/10"
"Taylor & Wiley","Contract","AKT Development","3rd Quarter 2010","10/14/10"
"Taylor & Wiley","Contract","Stonebridge/Teichert","3rd Quarter 2010","10/14/10"
"Taylor & Wiley","Contract","Johnny Javanifard","3rd Quarter 2010","10/14/10"
"Taylor & Wiley","Contract","Gurjeet Hundal","3rd Quarter 2010","10/14/10"
"Taylor & Wiley","Contract","St. Anton","3rd Quarter 2010","10/14/10"
"Taylor & Wiley","Contract","California Railroad Museum Foundation","3rd Quarter 2010","10/14/10"
"Best, Best & Krieger LLP","Contract","David S. Taylor Interest, Inc.","3rd Quarter 2011","10/13/11"
"Best, Best & Krieger LLP","Contract","Waltrust Properties Inc./Walgreens","3rd Quarter 2011","10/13/11"
"California Capitol Solutions/Max Del Real","Contract","Sacramento Alliance of Collectives","3rd Quarter 2011","10/13/11"
"California Capitol Solutions/Max Del Real","Contract","A Therapeutic Alternative","3rd Quarter 2011","10/13/11"
"California Capitol Solutions/Max Del Real","Contract","Fruitridge Health and Wellness Collective","3rd Quarter 2011","10/13/11"
"Charles J. Dalldorf","Contract","Republic Services","3rd Quarter 2011","10/10/11"
"Hefner, Stark & Marois, LLP","Contract","El Darado Savings Bank","3rd Quarter 2011","10/17/11"
"Hefner, Stark & Marois, LLP","Contract","North Natomas Sac Region, LLC","3rd Quarter 2011","10/17/11"
"Hefner, Stark & Marois, LLP","Contract","Northwest Land Park, LLC","3rd Quarter 2011","10/17/11"
"Holloway Land Company","Contract","Drake Developments of California, Inc.","3rd Quarter 2011","10/19/11"
"Holloway Land Company","Contract","21st & I, LLC","3rd Quarter 2011","10/19/11"
"Holloway Land Company","Contract","Trammell Crow Residential","3rd Quarter 2011","10/19/11"
"Holloway Land Company","Contract","Recycling Industries","3rd Quarter 2011","10/19/11"
"Holloway Land Company","Contract","Foothill Partners","3rd Quarter 2011","10/19/11"
"Holloway Land Company","Contract","Paul & Milka Lausevic","3rd Quarter 2011","10/19/11"
"Holloway Land Company","Contract","James Marcus","3rd Quarter 2011","10/19/11"
"Holloway Land Company","Contract","Investors Choice","3rd Quarter 2011","10/19/11"
"Holloway Land Company","Contract","Sisler and Sisler","3rd Quarter 2011","10/19/11"
"Holloway Land Company","Contract","Pacific Housing","3rd Quarter 2011","10/19/11"
"Holloway Land Company","Contract","Fresh & Easy Neighborhood Market","3rd Quarter 2011","10/19/11"
"Holloway Land Company","Contract","Mueller Pet Hospital","3rd Quarter 2011","10/19/11"
"Holloway Land Company","Contract","PC & F","3rd Quarter 2011","10/19/11"
"Holloway Land Company","Contract","Brothers Development","3rd Quarter 2011","10/19/11"
"Holloway Land Company","Contract","Daru Development","3rd Quarter 2011","10/19/11"
"Holloway Land Company","Contract","Inve$tnet","3rd Quarter 2011","10/19/11"
"Holloway Land Company","Contract","Little Real Estate Services","3rd Quarter 2011","10/19/11"
"Holloway Land Company","Contract","Stan Hazelroth","3rd Quarter 2011","10/19/11"
"Holloway Land Company","Contract","A Therapeutic Alternative","3rd Quarter 2011","10/19/11"
"Holloway Land Company","Contract","Cha Cha's Doggie Daycare","3rd Quarter 2011","10/19/11"
"Holloway Land Company","Contract","Hugs Dispensary","3rd Quarter 2011","10/19/11"
"Holloway Land Company","Contract","Taylor and Wiley","3rd Quarter 2011","10/19/11"
"Law Offices of George Phillips","Contract","Ose Properties","3rd Quarter 2011","10/14/11"
"Law Offices of Gregory D. Thatch","Contract","Armour Steel Company","3rd Quarter 2011","10/11/11"
"Law Offices of Gregory D. Thatch","Contract","Brookfield Natomas, LLC","3rd Quarter 2011","10/11/11"
"Law Offices of Gregory D. Thatch","Contract","Downtown Ford","3rd Quarter 2011","10/11/11"
"Law Offices of Gregory D. Thatch","Contract","Fritz Brown","3rd Quarter 2011","10/11/11"
"Law Offices of Gregory D. Thatch","Contract","Granite Bay Development","3rd Quarter 2011","10/11/11"
"Law Offices of Gregory D. Thatch","Contract","Jerry Greenberg","3rd Quarter 2011","10/11/11"
"Law Offices of Gregory D. Thatch","Contract","K. Hovnanian Forecast Homes Northern, Inc.","3rd Quarter 2011","10/11/11"
"Law Offices of Gregory D. Thatch","Contract","KB Home","3rd Quarter 2011","10/11/11"
"Law Offices of Gregory D. Thatch","Contract","Kern Schumacher (Natomas Creek, LLC; Natomas Meadows, LLC; Commerce Station, LLC; East Commerce Parkway, LLC; and Natomas Towne Center, LLC)","3rd Quarter 2011","10/11/11"
"Law Offices of Gregory D. Thatch","Contract","Lewis Operating Corp.","3rd Quarter 2011","10/11/11"
"Law Offices of Gregory D. Thatch","Contract","M&H Realty Partners, VI, L.P.","3rd Quarter 2011","10/11/11"
"Law Offices of Gregory D. Thatch","Contract","National Electric Contractors Association","3rd Quarter 2011","10/11/11"
"Law Offices of Gregory D. Thatch","Contract","National Wood Products","3rd Quarter 2011","10/11/11"
"Law Offices of Gregory D. Thatch","Contract","Panatonni Development Company","3rd Quarter 2011","10/11/11"
"Law Offices of Gregory D. Thatch","Contract","Paratransit, Inc.","3rd Quarter 2011","10/11/11"
"Law Offices of Gregory D. Thatch","Contract","Park El Camino-Natomas, LLC","3rd Quarter 2011","10/11/11"
"Law Offices of Gregory D. Thatch","Contract","Presidio Hotel Group","3rd Quarter 2011","10/11/11"
"Law Offices of Gregory D. Thatch","Contract","Regent Development, Inc.","3rd Quarter 2011","10/11/11"
"Law Offices of Gregory D. Thatch","Contract","S-360 Development","3rd Quarter 2011","10/11/11"
"Law Offices of Gregory D. Thatch","Contract","Schetter Electric Company, Inc.","3rd Quarter 2011","10/11/11"
"Law Offices of Gregory D. Thatch","Contract","Stockton Blvd. Partners, LLC","3rd Quarter 2011","10/11/11"
"Law Offices of Gregory D. Thatch","Contract","TIAA-CREF","3rd Quarter 2011","10/11/11"
"Law Offices of Gregory D. Thatch","Contract","Yellow Cab Company of Sacramento","3rd Quarter 2011","10/11/11"
"Law Offices of Richard H. Hyde","Contract","Z Gallerie","3rd Quarter 2011","10/18/11"
"Law Offices of Richard H. Hyde","Contract","13th and I Associates","3rd Quarter 2011","10/18/11"
"Law Offices of Richard H. Hyde","Contract","Township 9 (Fomerly known as Capitol Station 65, LLC)","3rd Quarter 2011","10/18/11"
"Law Offices of Richard H. Hyde","Contract","California Fairs Financing Authority dba California Construction","3rd Quarter 2011","10/18/11"
"Law Offices of Richard H. Hyde","Contract","Lucas Enterprises","3rd Quarter 2011","10/18/11"
"Law Offices of Richard H. Hyde","Contract","Sotiris K. Kolkotronis dba SKK Development Company","3rd Quarter 2011","10/18/11"
"Pacific Advocacy Group","Contract","WECA-IEC","3rd Quarter 2011","10/10/11"
"Pacific Advocacy Group","Contract","PHCC of California","3rd Quarter 2011","10/10/11"
"Pacific Investment Management Company","Business/ Organization","N/A","3rd Quarter 2011","10/13/11"
"Paul R. Curry and Associates","Contract","Raytheon","3rd Quarter 2011","10/10/11"
"Rasmusson Public Affairs","Contract","Saca Development","3rd Quarter 2011","10/14/11"
"Rasmusson Public Affairs","Contract","CBS Outdoor","3rd Quarter 2011","10/14/11"
"Rasmusson Public Affairs","Contract","Sacramento Association of Realtors","3rd Quarter 2011","10/14/11"
"Rasmusson Public Affairs","Contract","LPS Asset  Management Solutions, Inc.","3rd Quarter 2011","10/14/11"
"Rasmusson Public Affairs","Contract","Tooley Oil Company","3rd Quarter 2011","10/14/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","455 Capitol Mall","3rd Quarter 2011","10/17/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","AKT Development","3rd Quarter 2011","10/17/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Alleghany Properties, LLC","3rd Quarter 2011","10/17/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Avondale Glen Elder Neighborhood Association","3rd Quarter 2011","10/17/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Capitol Station 65","3rd Quarter 2011","10/17/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Clear Channel","3rd Quarter 2011","10/17/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Gerry Kamilos","3rd Quarter 2011","10/17/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Loaves & Fishes","3rd Quarter 2011","10/17/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Nestle Waters of North America","3rd Quarter 2011","10/17/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Pat Flanagan","3rd Quarter 2011","10/17/11"
